shape,trend,min,max,velocity,l,breaktime,r,H,K,init,P,thr,expected_traj,expected_class,iter
cst,NA,3,NA,NA,100,NA,1.0,0.75,10,0.9,2,0,stable_constant,no_change,1
lin,pos,1,6,NA,100,NA,1.6,0.75,10,0.9,2,0,decrease_constant,linear,1
lin,neg,1,6,NA,100,NA,1.6,0.75,10,0.9,2,0,increase_constant,linear,1
cvx,NA,2.5,4,NA,100,50,0.75,2,10,0.9,2,0,stable_convex,quadratic,1
lin,pos,0,5,NA,100,NA,1.0,2,10,0.9,2,0,decrease_accelerated,quadratic,1
lin,neg,2.5,4,NA,100,NA,0.75,2,10,0.9,2,0,increase_accelerated,quadratic,1
ccv,NA,2.5,5,NA,100,50,1.0,2,10,0.9,2,0,stable_concave,quadratic,1
lin,pos,2.5,4,NA,100,NA,0.75,2,10,0.9,2,0,decrease_decelerated,quadratic,1
lin,neg,1,3.2,NA,100,NA,0.75,2,10,0.9,2,0,increase_decelerated,quadratic,1
lin,pos,3,4,NA,100,NA,1.0,0.75,10,0.9,2,0,1_breakpoint,abrupt,1
abt,neg,3,6,NA,100,50,1.6,0.75,10,0.9,2,0,1_breakpoint,abrupt,1
abt,pos,3,6,NA,100,50,1.6,0.75,10,0.9,2,0,1_breakpoint,abrupt,1
